date,btc_price,trend_score,vol_scalar,target_weight,prev_weight,new_weight,action,trade_pct,daily_return,strat_equity,hodl_equity,drawdown
2026-07-09,63175.25,0,1,0,0,0,MANTENER,0,0.01506402,1.00355228,1.03820463,0
2026-07-10,64128.49,0,1,0,0,0,MANTENER,0,0.01508882,1.00366012,1.05386991,0
2026-07-11,63773.04,0.25,1,0.25,0,0.25,COMPRAR,0.25,-0.00554278,1.00359233,1.04802854,-0.00006754
2026-07-12,63740.32,0,1,0,0.25,0,VENDER,-0.25,-0.00051307,1.00336886,1.04749083,-0.0002902
2026-07-13,62264.94,0,1,0,0,0,MANTENER,0,-0.02314673,1.00347668,1.02324485,-0.00018277
2026-07-14,64988.64,0.25,1,0.25,0,0.25,COMPRAR,0.25,0.04374372,1.00340891,1.06800538,-0.0002503
2026-07-15,64716.63,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.0041855,1.00243983,1.06353524,-0.00121584
2026-07-16,63770.6,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.01461804,0.9988572,1.04798845,-0.0047854
2026-07-17,63894,0.25,1,0.25,0.25,0.25,MANTENER,0,0.00193506,0.99942091,1.05001637,-0.00422374
2026-07-18,64796.36,0.25,1,0.25,0.25,0.25,MANTENER,0,0.01412277,1.00303011,1.0648455,-0.00062771
2026-07-19,64681.78,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.00176831,1.00266753,1.06296253,-0.00098897
2026-07-20,65213.05,0.25,1,0.25,0.25,0.25,MANTENER,0,0.0082136,1.00480722,1.07169327,0
2026-07-21,66516.18,0.25,1,0.25,0.25,0.25,MANTENER,0,0.01998266,1.00990788,1.09310855,0
2026-07-22,66086.61,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.00645813,1.00835874,1.08604912,-0.00153394
2026-07-23,65051.23,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.01566702,1.00449052,1.06903397,-0.00536421
2026-07-24,64083.32,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.0148792,1.00083497,1.0531276,-0.00898389
2026-07-25,64295.61,0.25,1,0.25,0.25,0.25,MANTENER,0,0.00331272,1.00174451,1.05661632,-0.00808328
2026-07-26,65341.07,0.25,1,0.25,0.25,0.25,MANTENER,0,0.01626021,1.00589739,1.07379712,-0.00397115
2026-07-27,63694.43,0.25,1,0.25,0.25,0.25,MANTENER,0,-0.02520069,0.99964113,1.04673669,-0.01016603
2026-07-28,63847.12,0.25,1,0.25,0.25,0.25,MANTENER,0,0.00239723,1.00032079,1.04924596,-0.00949304
2026-07-29,63896.14,0.25,1,0.25,0.25,0.25,MANTENER,0,0.00076777,1.00059341,1.05005154,-0.00922309
2026-07-30,64721.9,0.25,1,0.25,0.25,0.25,MANTENER,0,0.01292347,1.00390684,1.06362185,-0.00594217
2026-07-31,62825.9,0,1,0,0.25,0,VENDER,-0.25,-0.02929457,0.99645981,1.03246351,-0.01331613
2026-08-01,62764.2,0,1,0,0,0,MANTENER,0,-0.00098208,0.99656689,1.03144955,-0.0132101
2026-08-02,63499.49,0.25,1,0.25,0,0.25,COMPRAR,0.25,0.01171512,0.99649958,1.0435331,-0.01327675
